sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"F3","unccdh","cdh snp","kid epb03","Sample","6.7","48.9%","8253","17","8236","-"
"F3","unccdh","cdh wt","kid epb03","Sample","0.0","-","8255","0","8255","-"
"F3","unccdh","unc snp","kid epb03","Sample","8.3","43.7%","8255","21","8234","-"
"F3","unccdh","unc wt","kid epb03","Sample","23.8","25.5%","8252","60","8192","-"
"F4","unccdh","cdh snp","kid epb05","Sample","10.5","39.1%","8247","26","8221","-"
"F4","unccdh","cdh wt","kid epb05","Sample","0.806","168.5%","8246","2","8244","-"
"F4","unccdh","unc snp","kid epb05","Sample","8.1","44.8%","8247","20","8227","-"
"F4","unccdh","unc wt","kid epb05","Sample","22.7","26.3%","8245","56","8189","-"
"F5","unccdh","cdh snp","kid epb06","Sample","2.4","86.1%","8268","6","8262","-"
"F5","unccdh","cdh wt","kid epb06","Sample","0.0","-","8270","0","8270","-"
"F5","unccdh","unc snp","kid epb06","Sample","2.4","86.1%","8270","6","8264","-"
"F5","unccdh","unc wt","kid epb06","Sample","6.9","48.8%","8269","17","8252","-"
"F6","unccdh","cdh snp","kid unc01","Sample","3.6","68.8%","8257","9","8248","-"
"F6","unccdh","cdh wt","kid unc01","Sample","0.0","-","8259","0","8259","-"
"F6","unccdh","unc snp","kid unc01","Sample","21.7","26.9%","8253","54","8199","-"
"F6","unccdh","unc wt","kid unc01","Sample","82.8","13.7%","8258","204","8054","-"
"F7","unccdh","cdh snp","kid unc02","Sample","2.8","78.9%","8257","7","8250","-"
"F7","unccdh","cdh wt","kid unc02","Sample","0.406","274%","8257","1","8256","-"
"F7","unccdh","unc snp","kid unc02","Sample","12.6","35.7%","8242","31","8211","-"
"F7","unccdh","unc wt","kid unc02","Sample","9.8","40.7%","8229","24","8205","-"
"F8","unccdh","cdh snp","kid unc03","Sample","2.4","86.1%","8252","6","8246","-"
"F8","unccdh","cdh wt","kid unc03","Sample","0.802","168.5%","8257","2","8255","-"
"F8","unccdh","unc snp","kid unc03","Sample","5.2","56.3%","8257","13","8244","-"
"F8","unccdh","unc wt","kid unc03","Sample","13.7","34%","8251","34","8217","-"
"F9","unccdh","cdh snp","kid unc04","Sample","2.4","86.1%","8261","6","8255","-"
"F9","unccdh","cdh wt","kid unc04","Sample","0.0","-","8262","0","8262","-"
"F9","unccdh","unc snp","kid unc04","Sample","9.6","40.7%","8262","24","8238","-"
"F9","unccdh","unc wt","kid unc04","Sample","16.4","30.9%","8250","41","8209","-"
"F10","unccdh","cdh snp","kid unc05","Sample","4.0","65%","8258","10","8248","-"
"F10","unccdh","cdh wt","kid unc05","Sample","0.396","274.8%","8259","1","8258","-"
"F10","unccdh","unc snp","kid unc05","Sample","9.1","41.7%","8257","23","8234","-"
"F10","unccdh","unc wt","kid unc05","Sample","11.5","37%","8243","29","8214","-"
"F11","unccdh","cdh snp","kid unc06","Sample","8.7","42.7%","8259","22","8237","-"
"F11","unccdh","cdh wt","kid unc06","Sample","0.395","274.8%","8261","1","8260","-"
"F11","unccdh","unc snp","kid unc06","Sample","27.7","30.6%","4959","42","4917","-"
"F11","unccdh","unc wt","kid unc06","Sample","25.0","24.9%","8256","63","8193","-"
"F12","unccdh","cdh snp","kid unc07","Sample","11.7","36.3%","8201","30","8171","-"
"F12","unccdh","cdh wt","kid unc07","Sample","2.7","79%","8204","7","8197","-"
