sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"F7","slccdh","slc wt","hrt unc03","Sample","8.1","44.8%","8264","20","8244","-"
"F8","slccdh","cdh snp","hrt unc04","Sample","34.3","21.3%","8255","85","8170","-"
"F8","slccdh","cdh wt","hrt unc04","Sample","41.6","19.3%","8257","103","8154","-"
"F8","slccdh","slc snp","hrt unc04","Sample","8.8","42.6%","8257","22","8235","-"
"F8","slccdh","slc wt","hrt unc04","Sample","8.4","43.7%","8254","21","8233","-"
"F9","slccdh","cdh snp","hrt unc05","Sample","32.6","21.8%","8242","81","8161","-"
"F9","slccdh","cdh wt","hrt unc05","Sample","26.9","24%","8247","67","8180","-"
"F9","slccdh","slc snp","hrt unc05","Sample","12.8","35.1%","8245","32","8213","-"
"F9","slccdh","slc wt","hrt unc05","Sample","16.1","31.3%","8236","40","8196","-"
"F10","slccdh","cdh snp","hrt unc06","Sample","48.7","17.8%","8253","122","8131","-"
"F10","slccdh","cdh wt","hrt unc06","Sample","53.2","17%","8255","133","8122","-"
"F10","slccdh","slc snp","hrt unc06","Sample","17.9","29.5%","8254","45","8209","-"
"F10","slccdh","slc wt","hrt unc06","Sample","17.5","29.9%","8246","44","8202","-"
"F11","slccdh","cdh snp","hrt unc08","Sample","88.1","13.2%","8248","220","8028","-"
"F11","slccdh","cdh wt","hrt unc08","Sample","104.8","12.1%","8249","261","7988","-"
"F11","slccdh","slc snp","hrt unc08","Sample","86.9","13.3%","8249","217","8032","-"
"F11","slccdh","slc wt","hrt unc08","Sample","89.8","13.1%","8248","224","8024","-"
"F12","slccdh","cdh snp","hrt unc09","Sample","84.9","13.2%","8251","217","8034","-"
"F12","slccdh","cdh wt","hrt unc09","Sample","58.1","16%","8251","149","8102","-"
"F12","slccdh","slc snp","hrt unc09","Sample","65.6","15.1%","8252","168","8084","-"
"F12","slccdh","slc wt","hrt unc09","Sample","67.2","14.9%","8248","172","8076","-"
"G1","slccdh","cdh snp","lun epb01","Sample","4.9","56.2%","8256","13","8243","-"
"G1","slccdh","cdh wt","lun epb01","Sample","1.1","129.8%","8256","3","8253","-"
"G1","slccdh","slc snp","lun epb01","Sample","45.2","18%","8256","118","8138","-"
"G1","slccdh","slc wt","lun epb01","Sample","46.4","17.8%","8255","121","8134","-"
"G2","slccdh","cdh snp","lun epb02","Sample","15.6","31.4%","8243","40","8203","-"
"G2","slccdh","cdh wt","lun epb02","Sample","0.390","274.8%","8244","1","8243","-"
"G2","slccdh","slc snp","lun epb02","Sample","78.5","13.9%","8244","199","8045","-"
"G2","slccdh","slc wt","lun epb02","Sample","80.9","13.7%","8243","205","8038","-"
"G3","slccdh","cdh snp","lun epb03","Sample","25.7","24.4%","8227","65","8162","-"
"G3","slccdh","cdh wt","lun epb03","Sample","3.1","73.2%","8230","8","8222","-"
"G3","slccdh","slc snp","lun epb03","Sample","137.7","10.5%","8231","343","7888","-"
"G3","slccdh","slc wt","lun epb03","Sample","156.7","9.8%","8231","389","7842","-"
"G4","slccdh","cdh snp","lun epb04","Sample","18.5","28.8%","8234","47","8187","-"
"G4","slccdh","cdh wt","lun epb04","Sample","2.4","86.1%","8252","6","8246","-"
"G4","slccdh","slc snp","lun epb04","Sample","124.7","11%","8252","312","7940","-"
"G4","slccdh","slc wt","lun epb04","Sample","112.2","11.6%","8246","281","7965","-"
"G5","slccdh","cdh snp","lun epb05","Sample","19.1","28.6%","8267","48","8219","-"
"G5","slccdh","cdh wt","lun epb05","Sample","1.6","109.3%","8269","4","8265","-"
"G5","slccdh","slc snp","lun epb05","Sample","134.9","10.7%","8269","334","7935","-"
"G5","slccdh","slc wt","lun epb05","Sample","146.6","10.2%","8263","362","7901","-"
"G6","slccdh","cdh snp","lun epb06","Sample","9.2","41.7%","8246","23","8223","-"
"G6","slccdh","cdh wt","lun epb06","Sample","1.6","109.2%","8248","4","8244","-"
