sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"E9","uncsgpl","unc wt","hrt unc05","Sample","8.9","42.7%","8186","22","8164","-"
"E9","uncsgpl","vsir snp","hrt unc05","Sample","5.6","54.2%","8185","14","8171","-"
"E9","uncsgpl","vsir wt","hrt unc05","Sample","11.3","37.7%","8186","28","8158","-"
"E10","uncsgpl","unc snp","hrt unc06","Sample","6.8","48.8%","8258","17","8241","-"
"E10","uncsgpl","unc wt","hrt unc06","Sample","10.4","39.1%","8258","26","8232","-"
"E10","uncsgpl","vsir snp","hrt unc06","Sample","10.9","38.3%","8251","27","8224","-"
"E10","uncsgpl","vsir wt","hrt unc06","Sample","17.3","30.2%","8256","43","8213","-"
"E11","uncsgpl","unc snp","hrt unc08","Sample","18.5","28.9%","8258","47","8211","-"
"E11","uncsgpl","unc wt","hrt unc08","Sample","42.8","18.9%","8255","108","8147","-"
"E11","uncsgpl","vsir snp","hrt unc08","Sample","53.5","16.9%","8257","135","8122","-"
"E11","uncsgpl","vsir wt","hrt unc08","Sample","71.6","14.6%","8258","180","8078","-"
"E12","uncsgpl","unc snp","hrt unc09","Sample","27.3","24%","7785","67","7718","-"
"E12","uncsgpl","unc wt","hrt unc09","Sample","38.8","20.1%","7784","95","7689","-"
"E12","uncsgpl","vsir snp","hrt unc09","Sample","73.6","14.6%","7785","179","7606","-"
"E12","uncsgpl","vsir wt","hrt unc09","Sample","69.8","15%","7785","170","7615","-"
"F1","uncsgpl","unc snp","hrt epb02","Sample","5.4","54.1%","8257","14","8243","-"
"F1","uncsgpl","unc wt","hrt epb02","Sample","4.6","58.8%","8254","12","8242","-"
"F1","uncsgpl","vsir snp","hrt epb02","Sample","6.9","47.4%","8255","18","8237","-"
"F1","uncsgpl","vsir wt","hrt epb02","Sample","13.5","33.5%","8257","35","8222","-"
"F2","uncsgpl","unc snp","hrt epb03","Sample","2.0","95.7%","8147","5","8142","-"
"F2","uncsgpl","unc wt","hrt epb03","Sample","7.0","47.4%","8147","18","8129","-"
"F2","uncsgpl","vsir snp","hrt epb03","Sample","7.1","47.4%","8146","18","8128","-"
"F2","uncsgpl","vsir wt","hrt epb03","Sample","9.0","41.7%","8145","23","8122","-"
"F3","uncsgpl","unc snp","hrt epb04","Sample","3.9","64.9%","8272","10","8262","-"
"F3","uncsgpl","unc wt","hrt epb04","Sample","2.8","79%","8268","7","8261","-"
"F3","uncsgpl","vsir snp","hrt epb04","Sample","5.5","54.1%","8269","14","8255","-"
"F3","uncsgpl","vsir wt","hrt epb04","Sample","6.7","48.9%","8272","17","8255","-"
"F4","uncsgpl","unc snp","hrt epb05","Sample","2.8","78.9%","8271","7","8264","-"
"F4","uncsgpl","unc wt","hrt epb05","Sample","4.8","58.7%","8271","12","8259","-"
"F4","uncsgpl","vsir snp","hrt epb05","Sample","9.3","41.6%","8269","23","8246","-"
"F4","uncsgpl","vsir wt","hrt epb05","Sample","7.6","46%","8271","19","8252","-"
"F5","uncsgpl","unc snp","hrt epb06","Sample","2.0","95.6%","8247","5","8242","-"
"F5","uncsgpl","unc wt","hrt epb06","Sample","2.9","78.9%","8247","7","8240","-"
"F5","uncsgpl","vsir snp","hrt epb06","Sample","9.0","42.6%","8244","22","8222","-"
"F5","uncsgpl","vsir wt","hrt epb06","Sample","8.6","43.7%","8247","21","8226","-"
"F6","uncsgpl","unc snp","hrt unc01","Sample","0.801","168.9%","8264","2","8262","-"
"F6","uncsgpl","unc wt","hrt unc01","Sample","2.0","95.8%","8263","5","8258","-"
"F6","uncsgpl","vsir snp","hrt unc01","Sample","7.2","47.5%","8260","18","8242","-"
"F6","uncsgpl","vsir wt","hrt unc01","Sample","0.401","274.8%","8264","1","8263","-"
"F7","uncsgpl","unc snp","hrt unc03","Sample","2.4","86%","8251","6","8245","-"
"F7","uncsgpl","unc wt","hrt unc03","Sample","3.3","73.2%","8250","8","8242","-"
"F7","uncsgpl","vsir snp","hrt unc03","Sample","3.3","73.2%","8250","8","8242","-"
"F7","uncsgpl","vsir wt","hrt unc03","Sample","4.1","64.8%","8249","10","8239","-"
"F8","uncsgpl","unc snp","hrt unc04","Sample","4.0","64.8%","8269","10","8259","-"
"F8","uncsgpl","unc wt","hrt unc04","Sample","6.0","52.1%","8268","15","8253","-"
"F8","uncsgpl","vsir snp","hrt unc04","Sample","5.2","56.3%","8267","13","8254","-"
"F8","uncsgpl","vsir wt","hrt unc04","Sample","7.6","46%","8269","19","8250","-"
"F9","uncsgpl","unc snp","hrt unc05","Sample","2.0","95.6%","8241","5","8236","-"
"F9","uncsgpl","unc wt","hrt unc05","Sample","7.6","46%","8239","19","8220","-"
"F9","uncsgpl","vsir snp","hrt unc05","Sample","8.0","44.8%","8237","20","8217","-"
"F9","uncsgpl","vsir wt","hrt unc05","Sample","10.0","39.9%","8241","25","8216","-"
"F10","uncsgpl","unc snp","hrt unc06","Sample","2.0","95.8%","8268","5","8263","-"
"F10","uncsgpl","unc wt","hrt unc06","Sample","6.3","50.5%","8268","16","8252","-"
"F10","uncsgpl","vsir snp","hrt unc06","Sample","12.3","35.8%","8268","31","8237","-"
"F10","uncsgpl","vsir wt","hrt unc06","Sample","14.7","32.6%","8266","37","8229","-"
"F11","uncsgpl","unc snp","hrt unc08","Sample","36.5","20.5%","8255","92","8163","-"
"F11","uncsgpl","unc wt","hrt unc08","Sample","63.4","15.5%","8255","159","8096","-"
"F11","uncsgpl","vsir snp","hrt unc08","Sample","75.1","14.3%","8254","188","8066","-"
"F11","uncsgpl","vsir wt","hrt unc08","Sample","75.5","14.2%","8255","189","8066","-"
"F12","uncsgpl","unc snp","hrt unc09","Sample","24.3","25.5%","7893","60","7833","-"
"F12","uncsgpl","unc wt","hrt unc09","Sample","32.9","21.8%","7892","81","7811","-"
"F12","uncsgpl","vsir snp","hrt unc09","Sample","53.4","17.1%","7890","131","7759","-"
"F12","uncsgpl","vsir wt","hrt unc09","Sample","56.6","16.6%","7892","139","7753","-"
"G1","uncsgpl","unc snp","lun epb01","Sample","3.0","73.2%","8283","8","8275","-"
"G1","uncsgpl","unc wt","lun epb01","Sample","8.7","41.6%","8283","23","8260","-"
"G1","uncsgpl","vsir snp","lun epb01","Sample","24.8","24.4%","8276","65","8211","-"
"G1","uncsgpl","vsir wt","lun epb01","Sample","33.2","21%","8279","87","8192","-"
