sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"D8","psapsgpl","psap wt","si unc02","Sample","5.6","54.1%","8216","14","8202","-"
"D8","psapsgpl","sgpl snp","si unc02","Sample","3.2","73.3%","8215","8","8207","-"
"D8","psapsgpl","sgpl wt","si unc02","Sample","1.2","130%","8219","3","8216","-"
"D9","psapsgpl","psap snp","si unc03","Sample","10.8","38.3%","8239","27","8212","-"
"D9","psapsgpl","psap wt","si unc03","Sample","6.8","48.8%","8236","17","8219","-"
"D9","psapsgpl","sgpl snp","si unc03","Sample","0.399","274.3%","8237","1","8236","-"
"D9","psapsgpl","sgpl wt","si unc03","Sample","0.798","168.5%","8239","2","8237","-"
"D10","psapsgpl","psap snp","si unc04","Sample","142.4","10.4%","8205","352","7853","-"
"D10","psapsgpl","psap wt","si unc04","Sample","100.9","12.3%","8205","251","7954","-"
"D10","psapsgpl","sgpl snp","si unc04","Sample","12.7","35.1%","8205","32","8173","-"
"D10","psapsgpl","sgpl wt","si unc04","Sample","12.3","35.7%","8205","31","8174","-"
"D11","psapsgpl","psap snp","si unc05","Sample","69.4","14.8%","8120","173","7947","-"
"D11","psapsgpl","psap wt","si unc05","Sample","57.7","16.3%","8121","144","7977","-"
"D11","psapsgpl","sgpl snp","si unc05","Sample","22.7","26.1%","8115","57","8058","-"
"D11","psapsgpl","sgpl wt","si unc05","Sample","18.3","29.1%","8122","46","8076","-"
"D12","psapsgpl","psap snp","si unc06","Sample","129.4","10.7%","8176","330","7846","-"
"D12","psapsgpl","psap wt","si unc06","Sample","95.1","12.5%","8176","244","7932","-"
"D12","psapsgpl","sgpl snp","si unc06","Sample","7.7","44.8%","8172","20","8152","-"
"D12","psapsgpl","sgpl wt","si unc06","Sample","11.5","36.3%","8176","30","8146","-"
"E1","psapsgpl","psap snp","tes epb01","Sample","1272.4","3.6%","7480","2477","5003","-"
"E1","psapsgpl","psap wt","tes epb01","Sample","1187.3","3.7%","7315","2289","5026","-"
"E1","psapsgpl","sgpl snp","tes epb01","Sample","74.7","14.1%","8227","192","8035","-"
"E1","psapsgpl","sgpl wt","tes epb01","Sample","113.5","11.4%","8230","290","7940","-"
"E2","psapsgpl","psap snp","tes epb03","Sample","3015.8","2.3%","8008","4866","3142","-"
"E2","psapsgpl","psap wt","tes epb03","Sample","2858.8","2.3%","8006","4708","3298","-"
"E2","psapsgpl","sgpl snp","tes epb03","Sample","225.9","8.3%","8007","542","7465","-"
"E2","psapsgpl","sgpl wt","tes epb03","Sample","259.3","7.7%","8008","619","7389","-"
"E3","psapsgpl","psap snp","tes epb04","Sample","2591.1","2.4%","8247","4533","3714","-"
"E3","psapsgpl","psap wt","tes epb04","Sample","2323.8","2.6%","7671","3920","3751","-"
"E3","psapsgpl","sgpl snp","tes epb04","Sample","194.3","8.8%","8249","479","7770","-"
"E3","psapsgpl","sgpl wt","tes epb04","Sample","176.8","9.2%","8249","437","7812","-"
"E4","psapsgpl","psap snp","tes epb05","Sample","1169.2","3.6%","8243","2484","5759","-"
"E4","psapsgpl","psap wt","tes epb05","Sample","1070.1","3.8%","8242","2306","5936","-"
"E4","psapsgpl","sgpl snp","tes epb05","Sample","70.8","14.7%","8243","177","8066","-"
"E4","psapsgpl","sgpl wt","tes epb05","Sample","88.6","13.1%","8243","221","8022","-"
"E5","psapsgpl","psap snp","tes epb06","Sample","0.0","-","2951","0","2951","-"
"E5","psapsgpl","psap wt","tes epb06","Sample","0.0","-","2951","0","2951","-"
"E5","psapsgpl","sgpl snp","tes epb06","Sample","0.0","-","2936","0","2936","-"
"E5","psapsgpl","sgpl wt","tes epb06","Sample","0.0","-","2938","0","2938","-"
"E6","psapsgpl","psap snp","tes unc04","Sample","1196.8","3.6%","8226","2487","5739","-"
"E6","psapsgpl","psap wt","tes unc04","Sample","1139.8","3.8%","7782","2259","5523","-"
"E6","psapsgpl","sgpl snp","tes unc04","Sample","86.8","13.4%","8226","212","8014","-"
"E6","psapsgpl","sgpl wt","tes unc04","Sample","116.0","11.6%","8226","282","7944","-"
"E7","psapsgpl","psap snp","tes unc05","Sample","878.7","4.3%","7835","1795","6040","-"
"E7","psapsgpl","psap wt","tes unc05","Sample","833.3","4.5%","7834","1713","6121","-"
"E7","psapsgpl","sgpl snp","tes unc05","Sample","67.0","15.8%","7834","154","7680","-"
"E7","psapsgpl","sgpl wt","tes unc05","Sample","85.1","14%","7835","195","7640","-"
"E8","psapsgpl","psap snp","tes unc06","Sample","1264.2","3.5%","8075","2538","5537","-"
"E8","psapsgpl","psap wt","tes unc06","Sample","1122.2","3.8%","8074","2298","5776","-"
"E8","psapsgpl","sgpl snp","tes unc06","Sample","96.0","12.9%","8075","228","7847","-"
"E8","psapsgpl","sgpl wt","tes unc06","Sample","108.8","12.1%","8075","258","7817","-"
"E9","psapsgpl","psap snp","tes unc07","Sample","2035.7","2.8%","8210","3781","4429","-"
"E9","psapsgpl","psap wt","tes unc07","Sample","1824.4","2.9%","8210","3488","4722","-"
"E9","psapsgpl","sgpl snp","tes unc07","Sample","141.6","10.5%","8210","345","7865","-"
"E9","psapsgpl","sgpl wt","tes unc07","Sample","187.6","9.1%","8211","454","7757","-"
"E10","psapsgpl","psap snp","tes unc08","Sample","3021.3","2.3%","8238","4930","3308","-"
"E10","psapsgpl","psap wt","tes unc08","Sample","2634.0","2.4%","8237","4519","3718","-"
"E10","psapsgpl","sgpl snp","tes unc08","Sample","219.8","8.4%","8237","529","7708","-"
"E10","psapsgpl","sgpl wt","tes unc08","Sample","250.8","7.8%","8238","601","7637","-"
"E11","psapsgpl","psap snp","tes unc09","Sample","1904.6","3.8%","4517","2004","2513","-"
"E11","psapsgpl","psap wt","tes unc09","Sample","1707.1","4.1%","4462","1824","2638","-"
"E11","psapsgpl","sgpl snp","tes unc09","Sample","148.5","10.2%","8143","364","7779","-"
"E11","psapsgpl","sgpl wt","tes unc09","Sample","134.4","10.7%","8143","330","7813","-"
"E12","psapsgpl","psap snp","ntc","Sample","0.385","274.2%","8227","1","8226","-"
"E12","psapsgpl","psap wt","ntc","Sample","3.8","64.8%","8227","10","8217","-"
"E12","psapsgpl","sgpl snp","ntc","Sample","1.2","129.9%","8227","3","8224","-"
"E12","psapsgpl","sgpl wt","ntc","Sample","0.0","-","8227","0","8227","-"
"F1","psapsgpl","psap snp","tes epb01","Sample","1168.0","3.6%","8243","2537","5706","-"
"F1","psapsgpl","psap wt","tes epb01","Sample","1078.1","3.7%","8243","2373","5870","-"
"F1","psapsgpl","sgpl snp","tes epb01","Sample","82.7","13.4%","8242","212","8030","-"
"F1","psapsgpl","sgpl wt","tes epb01","Sample","86.7","13.1%","8243","222","8021","-"
"F2","psapsgpl","psap snp","tes epb03","Sample","2824.2","2.3%","8150","4790","3360","-"
"F2","psapsgpl","psap wt","tes epb03","Sample","2546.0","2.4%","8149","4483","3666","-"
"F2","psapsgpl","sgpl snp","tes epb03","Sample","210.6","8.5%","8150","521","7629","-"
