sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"F5","psapsgpl","sgpl snp","liv epb06","Sample","498.2","5.9%","7387","1017","6370","-"
"F5","psapsgpl","sgpl wt","liv epb06","Sample","458.8","6.2%","7333","935","6398","-"
"F6","psapsgpl","psap snp","liv unc02","Sample","2490.3","2.5%","8250","4361","3889","-"
"F6","psapsgpl","psap wt","liv unc02","Sample","1846.0","3.1%","7158","3059","4099","-"
"F6","psapsgpl","sgpl snp","liv unc02","Sample","184.9","9.2%","8250","448","7802","-"
"F6","psapsgpl","sgpl wt","liv unc02","Sample","129.8","10.9%","8249","317","7932","-"
"F7","psapsgpl","psap snp","liv unc03","Sample","2990.6","2.3%","8245","4868","3377","-"
"F7","psapsgpl","psap wt","liv unc03","Sample","2438.5","2.5%","8245","4263","3982","-"
"F7","psapsgpl","sgpl snp","liv unc03","Sample","312.4","7.1%","8244","734","7510","-"
"F7","psapsgpl","sgpl wt","liv unc03","Sample","265.5","7.7%","8244","628","7616","-"
"F8","psapsgpl","psap snp","liv unc04","Sample","2689.9","2.4%","8258","4593","3665","-"
"F8","psapsgpl","psap wt","liv unc04","Sample","2258.1","2.6%","8257","4082","4175","-"
"F8","psapsgpl","sgpl snp","liv unc04","Sample","239.8","8%","8259","577","7682","-"
"F8","psapsgpl","sgpl wt","liv unc04","Sample","245.5","7.9%","8258","590","7668","-"
"F9","psapsgpl","psap snp","liv unc05","Sample","3105.3","2.2%","8250","5032","3218","-"
"F9","psapsgpl","psap wt","liv unc05","Sample","2679.9","2.4%","8250","4589","3661","-"
"F9","psapsgpl","sgpl snp","liv unc05","Sample","296.4","7.2%","8250","709","7541","-"
"F9","psapsgpl","sgpl wt","liv unc05","Sample","258.1","7.7%","8250","621","7629","-"
"F10","psapsgpl","psap snp","liv unc06","Sample","3328.6","2.1%","8250","5266","2984","-"
"F10","psapsgpl","psap wt","liv unc06","Sample","3061.2","2.2%","8250","5012","3238","-"
"F10","psapsgpl","sgpl snp","liv unc06","Sample","265.6","7.6%","8251","643","7608","-"
"F10","psapsgpl","sgpl wt","liv unc06","Sample","258.3","7.7%","8251","626","7625","-"
"F11","psapsgpl","psap snp","liv unc07","Sample","2836.1","2.3%","8255","4796","3459","-"
"F11","psapsgpl","psap wt","liv unc07","Sample","2481.9","2.5%","8255","4399","3856","-"
"F11","psapsgpl","sgpl snp","liv unc07","Sample","307.1","7%","8256","742","7514","-"
"F11","psapsgpl","sgpl wt","liv unc07","Sample","337.1","6.7%","8257","811","7446","-"
"F12","psapsgpl","psap snp","ntc","Non Template Control","0.0","-","8251","0","8251","-"
"F12","psapsgpl","psap wt","ntc","Non Template Control","2.7","79%","8233","7","8226","-"
"F12","psapsgpl","sgpl snp","ntc","Non Template Control","0.0","-","8251","0","8251","-"
"F12","psapsgpl","sgpl wt","ntc","Non Template Control","0.0","-","8251","0","8251","-"
